MOF_name,D_lc-S-3-all,D_lc-T-1-all,D_mc-S-1-all,Density-mcs,Df,Di,KHW,LCD-mcs,PLD-mcs,VF-mcs,VPOV,f-lig-I-0,f-lig-I-3,func-I-0-all,func-I-1-all,mc-I-3-all,mc-Z-0-all,mc-chi-2-all,mc-chi-3-all,unit_cell_volume,Wselectivity,Wup20cm3,Wup80cm3,water_stability_prob
FATKIW,0.195,-2.0,6.91,1.892,3.7145,4.92999,1.3e+17,4.93,3.71,0.32,0.2751,12.66666667,36.0,0.75,2.25,12.0,3844.0,23.868,42.6231,2545.14,1.98e+22,423.8983773,434.4688479,0.992146556979928
WEMCEY,-0.033333333,-2.0,6.89,2.382,3.55906,5.07514,40400000000000.0,5.09,3.56,0.26,0.1969,12.0,30.0,0.0,0.0,20.5,3844.0,27.4131,72.58095,3383.91,1.24e+19,422.3290947,442.1769932,0.9298578100303563
VAZLAL,-0.03,-2.0,6.06,2.148,2.50635,3.43999,1810000000.0,3.44,2.51,0.15,0.1298,10.66666667,28.0,0.75,1.5,10.0,3600.0,17.442,35.1576,1058.49,2020000000000000.0,421.9528533,421.5852561,0.9760531468650108
CECVIQ,0.06,-2.0,7.05,2.172,3.18862,3.93864,2610.83,3.95,3.21,0.26,0.1886,17.0,58.0,0.0,0.0,9.0,3600.0,20.349,30.2214,1064.67,564000000.0,421.3299379,422.725677,0.969562025710197
MULQOA,0.19,-2.5,3.71,1.292,2.40351,3.46744,1.3583,5.83,5.12,0.58,0.1189,6.5,7.0,1.0,2.75,13.0,2304.0,26.7865,63.6623,382.057,234000.0,420.3243479,562.0451028,0.9383624132760036
EDADET,0.06,-2.0,7.19,2.14,3.23199,4.03192,1983.8,4.03,3.23,0.27,0.197,17.0,58.0,0.0,0.0,9.0,3481.0,20.1705,29.9563,1083.19,415000000.0,419.5999433,417.4322069,0.9079361561475248
VATYAR,0.0,-2.0,8.08,1.479,4.85588,5.8425,123516.0,5.84,4.86,0.53,0.5424,6.0,8.0,0.0,0.0,8.0,3600.0,23.256,31.3728,719.226,41200000000.0,419.4029138,587.5924463,0.9562506720723842
RASXEP01,-0.033333333,-2.0,6.89,2.389,3.45435,5.09989,36600000000000.0,5.1,3.45,0.25,0.2038,12.0,30.0,0.0,0.0,20.5,3844.0,27.4131,72.58095,3373.85,1.12e+19,415.3439159,441.1311868,0.9298578100303563
TEJGIA01,0.195,-2.0,6.91,1.883,3.86357,4.64155,3880000000000.0,4.64,3.86,0.31,0.2805,12.66666667,36.0,0.75,2.25,12.0,3844.0,23.868,42.6231,2561.27,6.32e+17,414.4688445,429.8560353,0.992146556979928
TIKMUW,-0.062222222,-2.555555556,4.12,1.567,3.1317,4.97756,1.17e+17,4.98,3.13,0.32,0.2419,67.0,324.0,1.0,2.047619048,9.0,3481.0,10.44685,31.46485,2296.92,1.57e+21,414.2944372,449.6218018,0.9148130255035907
WEMCOI,-0.033333333,-2.0,6.68,2.477,3.46352,5.04735,9080000000000.0,5.05,3.46,0.25,0.1907,12.0,30.0,0.0,0.0,20.5,4096.0,28.17,74.442,3328.75,2.85e+18,414.1187185,448.8177597,0.9382855380180152
VAZKUE,-0.03,-2.0,6.18,2.083,2.55402,3.47316,481000000.0,3.47,2.55,0.15,0.1385,10.66666667,28.0,0.75,1.5,10.0,3481.0,17.289,34.8492,1081.1,460000000000000.0,412.6972623,413.1277472,0.9295508402850837
FATKUI,0.195,-2.0,6.28,1.764,3.90797,4.71614,5.21e+17,4.72,3.91,0.32,0.2788,12.66666667,36.0,0.75,2.25,12.0,3364.0,22.848,40.8016,2651.86,8.31e+22,412.2551923,426.2952769,0.9735311009989124
LECGEH,0.035,-1.75,2.08,1.088,3.38182,4.6023,0.197682,4.6,3.38,0.41,0.3456,31.0,124.0,1.0,1.75,11.0,729.0,29.6852,55.0276,1120.59,20700.0,412.1064035,439.5024981,0.9288388292523521
VATYEV,0.0,-2.0,7.68,1.601,4.67285,5.69723,2418.39,5.7,4.67,0.52,0.5313,6.0,8.0,0.0,0.0,8.0,4096.0,24.48,33.024,691.379,853000000.0,412.0072177,563.5523386,0.9841871848943791
MITGOL,-0.06,-2.0,5.76,2.196,2.54977,3.25847,33680.9,4.77,3.83,0.35,0.0794,12.0,36.0,0.75,1.5,10.0,4096.0,18.36,37.008,1100.45,9220000000.0,410.9978374,430.8677266,0.9724976459593548
KESHAT,0.195,-2.0,7.19,1.788,3.88542,4.71415,159000000000.0,4.71,3.89,0.32,0.2803,12.66666667,36.0,0.75,2.25,12.0,3481.0,23.052,41.1659,2622.66,3.28e+16,410.7678935,419.5347136,0.9756732991468275
NIGFIT,0.14,-0.5,7.44,1.233,4.62821,7.45855,18.8224,7.44,4.64,0.72,0.6074,18.0,66.0,0.0,0.0,8.0,4356.0,12.444,27.0596,1995.38,3090000.0,410.7088433,695.9208493,0.9275435275615801
TEJGIA,0.195,-2.0,6.91,1.88,3.84764,4.64544,3.14e+16,4.65,3.85,0.31,0.2789,12.66666667,36.0,0.75,2.25,12.0,3844.0,23.868,42.6231,2556.9,5.41e+21,410.0263106,424.3787351,0.992146556979928
ISUXAW,0.08,-2.0,5.62,2.256,2.51298,3.24875,72700000000000.0,3.25,2.51,0.12,0.0473,17.0,58.0,1.0,1.0,8.5,4356.0,20.2215,30.7867,2182.5,6.64e+18,409.0626053,409.2840877,0.9432005489133958
BETFUD,0.045714286,-1.142857143,7.16,1.063,4.26258,6.14613,20400000.0,6.15,4.26,0.64,0.5367,31.0,124.0,1.0,2.0,12.0,3364.0,15.5344,39.256,2814.19,1630000000000.0,408.1319465,604.8269032,0.9388691886769902
LANCOU,0.08,-2.0,5.92,2.171,2.47262,3.28583,77700000000000.0,3.29,2.47,0.12,0.0411,17.0,58.0,1.0,1.0,8.5,3844.0,19.39275,29.52495,2193.51,7.14e+18,408.0376225,408.2381623,0.9732121824963791
AMOZAE,-4.16e-17,-1.25,5.775,2.173,2.76008,3.25001,22800000000000.0,3.25,2.76,0.19,0.0779,19.0,66.0,1.0,1.0,12.5,2102.5,12.9603,37.25405,1346.45,3.71e+18,407.6154929,423.5204913,0.9184678600394651
DUQSEO,0.07,-1.75,5.68,1.731,3.47448,3.77273,2.62e+16,3.78,3.47,0.18,0.1771,11.0,25.0,1.0,2.0,14.0,3249.0,29.128,43.692,763.897,2.3e+22,405.819974,406.8547043,0.9771299116191478
PEGQAV,-0.033333333,-2.0,7.03,2.325,3.15822,5.1624,110000000000.0,5.15,3.15,0.24,0.1828,12.0,30.0,0.0,0.0,20.5,3600.0,26.6589,70.7199,3397.94,2.99e+16,403.0655216,412.4503338,0.9340288512351003
TEJGEW,0.195,-2.0,6.7,1.922,3.80073,4.65952,20600000000000.0,4.66,3.8,0.31,0.2682,12.66666667,36.0,0.75,2.25,12.0,4096.0,24.48,43.716,2553.55,4.65e+18,400.6912562,408.8471357,0.9926921308149039
FATKAO,0.195,-2.0,6.7,1.95,3.80909,4.65609,14500000000000.0,4.66,3.81,0.31,0.2749,12.66666667,36.0,0.75,2.25,12.0,4096.0,24.48,43.716,2515.86,3.3e+18,400.2731199,413.1020425,0.9926921308149039
DATHAJ,0.072,-2.0,7.393333333,1.883,3.71297,5.55335,2060000000.0,5.55,3.71,0.26,0.2174,12.0,37.6,0.4,1.2,13.33333333,3600.0,22.1844,47.3556,3690.78,446000000000000.0,398.9909536,412.386056,0.9886449798756477
SEHSUU,0.14,-0.5,7.28,1.376,4.60331,5.44704,0.0667278,5.45,4.6,0.65,0.5497,18.0,66.0,0.0,0.0,8.0,4624.0,12.648,27.5032,1807.83,9390.0,394.4390688,654.2762652,0.9098505904773306
XIPTAS,-0.06,-2.0,5.94,2.139,2.59055,3.29344,71400000000.0,3.29,2.59,0.12,0.0794,12.0,36.0,0.75,1.5,10.0,3844.0,17.901,36.0828,1116.27,6.47e+17,392.9125504,392.2982121,0.9724976459593548
MIVPAJ,-0.06,-2.0,5.82,2.211,2.48956,3.2189,50600000000.0,3.26,2.55,0.12,0.0615,12.0,36.0,0.75,1.5,10.0,4900.0,16.83,33.924,1077.89,7.3e+17,391.5323594,393.0602672,0.9112573369985808
BETGAK,0.045714286,-1.142857143,7.64,1.062,4.21478,6.10951,91532.1,6.11,4.21,0.64,0.5316,31.0,124.0,1.0,2.0,12.0,3249.0,15.235,38.555,2810.39,7210000000.0,385.4303382,599.2750409,0.9294859791245027
ELILIV,0.045714286,-1.142857143,6.33,1.644,3.62473,4.97952,35400000.0,4.98,3.62,0.42,0.3255,29.0,116.0,1.0,2.0,10.0,4761.0,15.9375,36.325,945.982,2550000000000.0,382.4271443,442.4359597,0.9255370280124768
SEYFAE,0.726666667,-2.5,5.5,2.027,3.30607,4.13987,1678.89,4.14,3.31,0.29,0.2415,21.0,84.0,1.0,2.333333333,15.0,4624.0,24.4032,52.5512,1282.14,337000000.0,380.914649,404.973793,0.9845507985826756
ELIKUG,-0.08,-2.0,5.76,1.58,3.7268,4.95561,303000000000.0,4.96,3.73,0.42,0.3289,29.0,116.0,1.0,2.0,9.0,4096.0,15.3,31.812,959.652,1.82e+16,380.4400566,445.5604888,0.9714821529003147
